GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
concesionario,es.iespuertodelacruz.concesionario.exception,ClienteException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,VehiculoException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,PersonaException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,DniException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,PersistenciaException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,BbddException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,EmpleadoException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,DireccionException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,VentaException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.exception,BastidorException,9,0,0,0,4,0,2,0,2,0
concesionario,es.iespuertodelacruz.concesionario.controlador,VentaController,164,0,24,0,44,0,21,0,9,0
concesionario,es.iespuertodelacruz.concesionario.controlador,VehiculoController,256,0,48,0,58,0,33,0,9,0
concesionario,es.iespuertodelacruz.concesionario.controlador,EmpleadoController,244,0,44,0,54,0,31,0,9,0
concesionario,es.iespuertodelacruz.concesionario.controlador,PersonaController,192,0,32,0,47,0,24,0,8,0
concesionario,es.iespuertodelacruz.concesionario.controlador,ClienteController,219,0,38,0,52,0,28,0,9,0
concesionario,es.iespuertodelacruz.concesionario.controlador,DireccionController,163,0,26,0,43,0,21,0,8,0
concesionario,es.iespuertodelacruz.concesionario.api,Cliente,0,33,0,0,0,9,0,5,0,5
concesionario,es.iespuertodelacruz.concesionario.api,Direccion,0,112,0,0,0,34,0,17,0,17
concesionario,es.iespuertodelacruz.concesionario.api,Vehiculo,193,0,0,0,65,0,27,0,27,0
concesionario,es.iespuertodelacruz.concesionario.api,Empleado,0,59,0,0,0,17,0,9,0,9
concesionario,es.iespuertodelacruz.concesionario.api,Venta,0,69,0,0,0,22,0,11,0,11
concesionario,es.iespuertodelacruz.concesionario.api,Persona,0,99,0,0,0,30,0,15,0,15
concesionario,es.iespuertodelacruz.concesionario.modelo,DireccionModelo,143,0,0,0,23,0,6,0,6,0
concesionario,es.iespuertodelacruz.concesionario.modelo,PersonaModelo,123,0,0,0,24,0,6,0,6,0
concesionario,es.iespuertodelacruz.concesionario.modelo,Bbdd,807,183,28,12,221,49,34,10,19,5
concesionario,es.iespuertodelacruz.concesionario.modelo,ClienteModelo,84,12,0,0,17,3,6,1,6,1
concesionario,es.iespuertodelacruz.concesionario.modelo,VentaModelo,120,0,0,0,23,0,7,0,7,0
concesionario,es.iespuertodelacruz.concesionario.modelo,Fichero,7,63,0,6,2,19,0,6,0,3
concesionario,es.iespuertodelacruz.concesionario.modelo,SqliteBbdd,9,9,0,0,2,2,1,1,1,1
concesionario,es.iespuertodelacruz.concesionario.modelo,VehiculoModelo,197,0,0,0,28,0,7,0,7,0
concesionario,es.iespuertodelacruz.concesionario.modelo,EmpleadoModelo,117,0,0,0,23,0,7,0,7,0
concesionario,es.iespuertodelacruz.concesionario.vista,VistaApp,936,0,65,0,343,0,62,0,17,0
